Date,AAPL,MSFT,ASML.AS,^GSPC,EURUSD,^IRX,Portfolio_PnL,Loss
2016-03-23,-1385.932767375823,-462.8565516206996,1161.059001431763,-1281.301906133424,-231.3174912790733,0.4999935626983504,-2199.8497214145586,2199.8497214145586
2016-03-24,-1085.9546589975218,1109.287466008249,-3711.426009202818,-75.62835587536395,-748.3092961266844,4.500001668930054,-4507.530852525209,4507.530852525209
2016-03-25,0.0,0.0,0.0,0.0,-234.6528360251392,-0.0,-234.6528360251392,234.6528360251392
2016-03-28,-1138.184539516573,-3109.0759339290244,0.0,109.0213776144716,-142.89369075320084,5.000002682209015,-4276.132783902117,4276.132783902117
2016-03-29,5848.886302463797,5404.3777676799655,3824.8764431096415,1755.602410847482,764.7889544366261,7.500000298023231,17606.031878835536,-17606.031878835536
2016-03-30,4327.138270606445,1548.787322335575,2547.174331622384,868.1759987132439,1588.118893356656,9.999997913837426,10889.39481454814,-10889.39481454814
2016-03-31,-1304.0067877381566,816.0782038413743,-22.416776557257784,-408.3684719241423,753.4632474963713,-2.0000003278255254,-167.25058520963657,167.25058520963657
2016-04-01,2283.329344942808,1534.347876932141,-3092.7120595391298,1262.1918133199513,792.7308976547939,-6.249997764825827,2773.6378755457386,-2773.6378755457386
2016-04-04,2555.324084138733,-630.6491111585727,3562.616411724601,-642.6960091709236,182.15118696644817,8.749999105930328,5035.496561606216,-5035.496561606216
2016-04-05,-2964.837545237641,-3954.9845532680847,-4223.48063414013,-2039.259682358906,-18.21184204306582,-8.749999105930328,-13209.524256153756,13209.524256153756
2016-04-06,2604.560666817623,2552.897785588822,410.4777893130917,2090.559586402632,-122.96285577384192,-0.5000010132789751,7535.0329713350475,-7535.0329713350475
2016-04-07,-5512.7093553657305,-3011.494245144657,999.7661942303421,-2409.6147940009732,403.3251300186176,-0.0,-9530.7270702624,9530.7270702624
2016-04-08,276.2640299483692,-183.7022744951583,927.0918800183792,556.5405209232565,-544.4108937670644,0.5000010132789751,1032.2832636410612,-1032.2832636410612
2016-04-11,826.8105776951519,-505.85344096953736,-791.1787194065871,-548.7091779207667,510.20774958684746,2.000000327825553,-506.7230106870663,506.7230106870663
2016-04-12,3235.2744265748343,1560.1590555357132,226.40612579677378,1923.150776277995,173.38054036688067,-5.000002682209029,7113.370921869988,-7113.370921869988
2016-04-13,3595.8801128427604,3181.874408578261,4208.772356640507,1998.013953711579,-490.14193232142634,1.7499998211860794,12496.148899272866,-12496.148899272866
2016-04-14,133.89265349527318,45.17133694185829,-3305.8163878693194,34.58248602648517,-1869.7626807693316,2.0000003278255254,-4959.932591847209,4959.932591847209
2016-04-15,-5068.87805875759,1306.2361917144349,-112.67061495862743,-196.9539152291918,-160.1013179344527,1.2500025331974238,-4231.11771263223,4231.11771263223
2016-04-18,-5452.750377312539,3612.5342942382345,-2425.954772191859,1303.9451227595978,530.4164750425158,2.9999986290931493,-2428.8092588349573,2428.8092588349573
2016-04-19,-1329.3488604872791,-310.1456149570144,1295.9544675254951,615.9475805733066,160.5207360852132,-4.250001162290573,428.6783075774308,-428.6783075774308
