Date,Loss,VaR_Normal,ES_Normal,VaR_t,ES_t,VaR_HS,ES_HS,VaR_EWMA,ES_EWMA,VaR_FHS,ES_FHS
2020-02-13,4163.899319849616,22141.329643744564,22254.92358176526,27843.48977103351,31243.684561219765,31648.605393074857,30853.41340431408,23715.084997904407,23831.85788507805,28593.551949457153,30930.088613905
2020-02-14,-3358.737428510407,22151.39053295656,22264.981679898272,27857.74913159277,31255.265169302333,31648.605393074857,30853.41340431408,23114.73221335303,23228.54896825976,27160.484911690884,29430.538910230945
2020-02-18,2588.524309704248,22149.246784406896,22262.79559389215,27902.08132518824,31336.357815493484,31648.605393074857,30853.41340431408,22492.143683302704,22602.894817311113,25827.75575741024,27999.449146316718
2020-02-19,-5993.819164388426,22144.106834167902,22257.64233639226,27917.099169553498,31367.540700337995,31648.605393074857,30853.41340431408,21856.771631129664,21964.394198279962,24397.356775692064,26601.443251404988
2020-02-20,8224.689250246714,22128.512101749857,22242.03171814219,27916.011636413496,31384.4158385314,31648.605393074857,30853.41340431408,21464.41190719616,21570.102498231747,23626.124845995822,25896.804021860353
2020-02-21,20334.535800241392,22079.777654874528,22192.871513305836,27711.22541324852,31083.19688453268,31648.605393074857,30853.41340431408,21331.74025721643,21436.777574118034,23760.701340822285,25985.78146500805
2020-02-24,38762.19711258615,22155.234704988525,22268.58819432896,27808.80947681611,31188.110088148067,31648.605393074857,30853.41340431408,23706.69724182608,23823.428827756477,29164.226884082138,31762.835142293596
2020-02-25,23701.99999359763,22374.17674706382,22488.429414247257,28161.11765508932,31687.040259445206,32786.00310882641,31496.52384614302,31877.451290565714,32034.415603502628,47112.99235182287,49942.75531700367
2020-02-26,-6882.631627737603,22470.082003635973,22584.678167491962,28305.775434887968,31862.166131076643,32786.00310882641,31536.40663939234,33728.63456723397,33894.714091688074,49337.95382840108,52369.42167674991
2020-02-27,55348.2062709446,22435.228909195022,22549.747841731998,28273.35421701841,31843.031841565426,32786.00310882641,31536.40663939234,32935.47372437173,33097.647731235564,45872.04042733973,48659.08632948549
2020-02-28,-7883.761796027177,22853.291778637125,22969.602215081795,28789.09805997427,32593.05848724219,32891.4970310532,32805.7470140647,44882.02669768661,45103.02543499481,76930.41846418525,76017.84379768596
2020-03-02,-54293.80552731663,22851.17446029685,22967.462908654208,28795.451069968803,32609.47658647975,32891.4970310532,32805.7470140647,43746.02492861098,43961.430002374604,70347.1764328999,69573.52243943636
2020-03-03,33130.02067227493,23120.414230550934,23238.30442077207,29271.501323384175,33310.88929147788,32891.4970310532,32805.7470140647,52498.46076849827,52756.96276571445,89078.77519300947,87964.21535356803
2020-03-04,-35132.74297357201,23277.35821890614,23395.788041870706,29578.525110004586,33767.090251955306,33130.02067227493,33185.4039125724,54287.45930592118,54554.770317500275,89227.98868344395,88067.50012594326
